Report_Data_Extracted,LTC_Homes_with_Active_Outbreak,LTC_Homes_with_Resolved_Outbreak,Confirmed_Active_LTC_Resident_Cases,Confirmed_Active_LTC_HCW_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Deaths,Active_Outbreaks_with_No_Resident_Cases
2020-04-24,145,31,2455,1120,625,1,
2020-04-25,147,31,2520,1161,654,1,
2020-04-26,150,32,2523,1187,671,1,
2020-04-27,154,34,2491,1205,705,1,
2020-04-28,159,34,2632,1361,775,1,
2020-04-29,163,34,2614,1430,835,1,
2020-04-30,166,35,2722,1482,861,1,
2020-05-01,167,36,2682,1541,910,2,
2020-05-02,170,36,2719,1594,954,2,
2020-05-03,175,37,2751,1619,972,3,
2020-05-04,175,37,2740,1613,1003,3,
2020-05-05,174,41,2819,1621,1074,3,
2020-05-06,174,45,2831,1671,1111,3,
2020-05-07,175,49,2782,1707,1150,4,
2020-05-08,175,53,2773,1736,1187,4,
2020-05-09,172,58,2727,1693,1235,4,
2020-05-10,174,57,2725,1691,1235,4,
2020-05-11,180,58,2703,1677,1239,4,
2020-05-12,180,64,2690,1672,1269,5,
2020-05-13,185,71,2501,1668,1308,5,
2020-05-14,186,75,2429,1647,1320,5,
2020-05-15,185,80,2490,1637,1360,5,
2020-05-16,189,82,2500,1631,1388,5,
2020-05-17,189,85,2526,1606,1389,5,
2020-05-18,190,88,2538,1615,1408,5,
2020-05-19,183,100,2563,1611,1427,5,
2020-05-20,175,109,2458,1564,1452,6,
2020-05-21,171,116,2252,1523,1486,6,
2020-05-22,165,124,2148,1437,1495,6,
2020-05-23,161,130,1954,1392,1525,6,
2020-05-24,159,133,1926,1395,1531,6,
2020-05-25,150,142,1855,1335,1538,6,
2020-05-26,135,157,1765,1216,1587,6,
2020-05-27,129,164,1655,1160,1591,6,
2020-05-28,123,172,1476,1113,1625,6,
2020-05-29,114,180,1304,1048,1636,7,
2020-05-30,114,182,1184,986,1642,7,
2020-05-31,112,184,1154,978,1648,7,
2020-06-01,105,191,1081,925,1652,7,
2020-06-02,94,203,986,866,1661,7,
2020-06-03,89,208,970,805,1679,7,
2020-06-04,85,213,969,732,1692,7,
2020-06-05,83,214,923,685,1717,7,
2020-06-06,77,220,884,664,1719,7,
2020-06-07,78,220,884,665,1720,7,
2020-06-08,73,225,816,643,1738,7,
2020-06-09,68,231,777,630,1766,7,
2020-06-10,65,235,683,590,1772,7,
2020-06-11,63,238,611,543,1776,7,
2020-06-12,63,240,539,503,1786,7,
2020-06-13,67,238,524,507,1787,7,
2020-06-14,69,236,490,476,1792,7,
2020-06-15,67,240,458,471,1794,7,
2020-06-16,68,241,381,435,1798,7,
2020-06-17,67,242,339,435,1797,7,
2020-06-18,66,243,320,371,1799,7,
2020-06-19,67,246,252,356,1799,7,
2020-06-20,68,246,241,347,1802,7,
2020-06-21,66,247,240,346,1803,7,
2020-06-22,63,252,228,331,1796,7,
2020-06-23,62,253,205,368,1798,7,
2020-06-24,57,258,189,321,1803,7,
2020-06-25,57,258,187,324,1807,7,
2020-06-26,57,257,181,315,1807,7,
2020-06-27,55,259,183,320,1809,7,
2020-06-28,56,258,184,320,1809,7,
2020-06-29,55,259,184,316,1809,7,
2020-06-30,48,265,168,299,1817,7,
2020-07-01,46,267,168,289,1817,7,
2020-07-02,44,269,167,287,1817,7,
2020-07-03,36,278,165,263,1821,7,
2020-07-04,35,280,162,263,1821,7,
2020-07-05,34,281,160,261,1821,7,
2020-07-06,30,285,160,249,1821,7,
2020-07-07,26,288,144,217,1822,7,
2020-07-08,25,289,142,211,1833,7,
2020-07-09,22,292,137,204,1833,7,
2020-07-10,23,293,80,143,1834,7,
2020-07-11,23,294,76,144,1836,7,
2020-07-12,25,293,76,148,1836,7,
2020-07-13,27,292,76,150,1836,7,
2020-07-14,20,299,49,117,1838,7,
2020-07-15,19,300,45,62,1840,7,
2020-07-16,18,302,36,62,1839,7,
2020-07-17,17,303,39,63,1841,7,
2020-07-18,17,303,40,60,1841,7,
2020-07-19,16,304,34,61,1841,7,
2020-07-20,16,304,32,66,1841,7,
2020-07-21,16,307,25,66,1844,8,
2020-07-22,15,308,17,53,1844,8,
2020-07-23,14,309,17,51,1844,8,
2020-07-24,13,310,16,42,1844,8,
2020-07-25,12,311,16,41,1844,8,
2020-07-26,13,311,16,43,1844,8,
2020-07-27,15,310,16,46,1844,8,
2020-07-28,15,310,10,36,1844,8,
2020-07-29,17,309,12,37,1844,8,
2020-07-30,17,310,9,37,1845,8,
2020-07-31,19,309,10,37,1845,8,
2020-08-01,20,309,10,37,1845,8,
2020-08-02,23,308,11,40,1845,8,
2020-08-03,23,308,11,40,1845,8,
2020-08-04,23,308,12,42,1845,8,
2020-08-05,23,308,13,42,1846,8,
2020-08-06,22,309,11,43,1846,8,
2020-08-07,20,311,7,36,1847,8,
2020-08-08,18,313,4,34,1847,8,
2020-08-09,18,313,4,34,1847,8,
2020-08-10,18,313,3,38,1847,8,
2020-08-11,16,315,3,38,1847,8,
2020-08-12,14,317,3,34,1847,8,
2020-08-13,14,317,3,33,1847,8,
2020-08-14,13,318,4,33,1847,8,
2020-08-15,13,318,4,33,1847,8,
2020-08-16,13,318,4,33,1847,8,
2020-08-17,12,319,3,30,1847,8,
2020-08-18,10,322,3,21,1847,8,
2020-08-19,11,321,3,24,1847,8,
2020-08-20,12,319,4,23,1847,8,
2020-08-21,7,324,3,18,1847,8,
2020-08-22,7,324,3,18,1847,8,
2020-08-23,7,324,3,18,1847,8,
2020-08-24,6,325,2,13,1847,8,
2020-08-25,7,326,1,16,1847,8,
2020-08-26,9,323,0,18,1848,8,
2020-08-27,9,323,0,19,1848,8,
2020-08-28,9,323,0,19,1848,8,
2020-08-29,9,323,0,19,1848,8,
2020-08-30,9,323,0,19,1848,8,
2020-08-31,12,322,1,22,1848,8,
2020-09-01,13,322,1,23,1848,8,
2020-09-02,16,319,10,26,1848,8,
2020-09-03,17,317,10,32,1848,8,
2020-09-04,17,317,7,40,1848,8,
2020-09-05,17,317,14,38,1848,8,
2020-09-06,19,316,14,40,1848,8,
2020-09-07,19,316,19,40,1848,8,
2020-09-08,18,317,36,39,1848,8,
2020-09-09,16,322,35,35,1848,8,
2020-09-10,17,322,37,36,1848,8,
2020-09-11,17,322,37,39,1848,8,
2020-09-12,16,323,36,35,1848,8,
2020-09-13,17,322,36,36,1848,8,
2020-09-14,18,321,61,42,1853,8,
2020-09-15,20,319,53,49,1854,8,
2020-09-16,22,318,56,56,1854,8,
2020-09-17,22,318,54,67,1856,8,
2020-09-18,19,321,58,65,1857,8,
2020-09-19,23,318,59,71,1858,8,
2020-09-20,23,318,71,78,1859,8,
2020-09-21,29,314,51,82,1859,8,
2020-09-22,31,312,58,83,1860,8,
2020-09-23,33,311,62,83,1861,8,
2020-09-24,32,312,69,85,1861,8,
2020-09-25,33,311,63,94,1862,8,
2020-09-26,40,306,63,109,1862,8,
2020-09-27,44,302,68,116,1863,8,
2020-09-28,46,301,78,123,1866,8,
2020-09-29,46,301,90,130,1867,8,
2020-09-30,48,300,104,133,1869,8,
2020-10-01,44,304,96,137,1870,8,
2020-10-02,45,303,115,135,1872,8,
2020-10-03,49,300,128,153,1872,8,
2020-10-04,50,299,124,158,1873,8,
2020-10-05,51,299,136,165,1875,8,
2020-10-06,53,297,154,165,1876,8,
2020-10-07,57,295,153,172,1879,8,
2020-10-08,56,296,145,178,1880,8,
2020-10-09,58,298,150,187,1886,8,
2020-10-10,58,298,146,197,1888,8,
2020-10-11,63,296,155,206,1891,8,
2020-10-12,66,295,157,210,1891,8,
2020-10-13,65,297,142,189,1896,8,
2020-10-14,71,292,159,199,1897,8,
2020-10-15,72,291,158,203,1901,8,
2020-10-16,78,287,185,203,1903,8,
2020-10-17,79,286,214,223,1906,8,
2020-10-18,86,281,209,234,1906,8,
2020-10-19,87,282,197,249,1907,8,
2020-10-20,86,286,216,260,1908,8,
2020-10-21,80,291,203,243,1910,8,
2020-10-22,77,295,229,237,1913,8,
2020-10-23,78,296,321,269,1913,8,
2020-10-24,82,295,376,282,1919,8,
2020-10-25,86,292,381,295,1921,8,
2020-10-26,88,293,397,299,1932,8,
2020-10-27,87,295,396,297,1934,8,
2020-10-28,83,300,419,283,1938,8,
2020-10-29,78,305,421,280,1939,8,
2020-10-30,72,311,457,275,1950,8,
2020-10-31,74,310,509,304,1955,8,
